Year,UNIT_MEASURE,Oblast obrazovanja,Pol,Value
2023,Broj,"Poljoprivreda, šumarstvo, ribarstvo i veterinarstvo",Ž,3
2023,Broj,"Poslovanje, administracija i pravo",Ž,42
2023,Broj,"Prirodne nauke, matematika i statistika",Ž,15
2023,Broj,Usluge,Ž,1
2023,Broj,Zdravstvo i socijalna zaštita,Ž,77
2024,Broj,Ukupno,Ukupno,475
2024,Broj,"Društvene nauke, novinarstvo i informisanje",Ukupno,65
2024,Broj,Umjetnost i humanističke nauke,Ukupno,68
2024,Broj,Informacione i komunikacione tehnologije,Ukupno,10
2024,Broj,"Inženjerstvo, proizvodnja i građevinarstvo",Ukupno,50
2024,Broj,Obrazovanje,Ukupno,88
2024,Broj,"Poljoprivreda, šumarstvo, ribarstvo i veterinarstvo",Ukupno,21
2024,Broj,"Poslovanje, administracija i pravo",Ukupno,31
2024,Broj,"Prirodne nauke, matematika i statistika",Ukupno,21
2024,Broj,Usluge,Ukupno,1
2024,Broj,Zdravstvo i socijalna zaštita,Ukupno,120
2024,Broj,Ukupno,M,181
2024,Broj,"Društvene nauke, novinarstvo i informisanje",M,20
2024,Broj,Umjetnost i humanističke nauke,M,27
2024,Broj,Informacione i komunikacione tehnologije,M,7
2024,Broj,"Inženjerstvo, proizvodnja i građevinarstvo",M,32
2024,Broj,Obrazovanje,M,21
2024,Broj,"Poljoprivreda, šumarstvo, ribarstvo i veterinarstvo",M,9
2024,Broj,"Poslovanje, administracija i pravo",M,16
2024,Broj,"Prirodne nauke, matematika i statistika",M,10
2024,Broj,Usluge,M,0
2024,Broj,Zdravstvo i socijalna zaštita,M,39
2024,Broj,Ukupno,Ž,294
2024,Broj,"Društvene nauke, novinarstvo i informisanje",Ž,45
2024,Broj,Umjetnost i humanističke nauke,Ž,41
2024,Broj,Informacione i komunikacione tehnologije,Ž,3
2024,Broj,"Inženjerstvo, proizvodnja i građevinarstvo",Ž,18
2024,Broj,Obrazovanje,Ž,67
2024,Broj,"Poljoprivreda, šumarstvo, ribarstvo i veterinarstvo",Ž,12
2024,Broj,"Poslovanje, administracija i pravo",Ž,15
2024,Broj,"Prirodne nauke, matematika i statistika",Ž,11
2024,Broj,Usluge,Ž,1
2024,Broj,Zdravstvo i socijalna zaštita,Ž,81
