Year,UNIT_MEASURE,Pol,Starosna dob,Value
2045,Broj,Ž,91,2535
2045,Broj,Ž,92,1978
2045,Broj,Ž,93,1724
2045,Broj,Ž,94,1102
2045,Broj,Ž,95,962
2045,Broj,Ž,96,715
2045,Broj,Ž,97,486
2045,Broj,Ž,98,348
2045,Broj,Ž,99,226
2045,Broj,Ž,100,116
2045,Broj,Ž,101,76
2045,Broj,Ž,102,52
2045,Broj,Ž,103,32
2045,Broj,Ž,104,22
2045,Broj,Ž,105,14
2045,Broj,Ž,106,8
2045,Broj,Ž,107,4
2045,Broj,Ž,108,2
2045,Broj,Ž,109,1
2045,Broj,Ž,110,0
2045,Broj,Ž,111,0
2045,Broj,Ž,112,0
2045,Broj,Ž,113,0
2045,Broj,Ž,114,0
2045,Broj,Ž,115,0
2045,Broj,Ž,116,0
2045,Broj,Ž,117,0
2045,Broj,Ž,118,0
2045,Broj,Ž,119,0
2045,Broj,Ž,120+,0
2050,Broj,Ž,Ukupno,472768
2050,Broj,Ž,0,3208
2050,Broj,Ž,1,3238
2050,Broj,Ž,2,3270
2050,Broj,Ž,3,3304
2050,Broj,Ž,4,3338
2050,Broj,Ž,5,3374
2050,Broj,Ž,6,3413
2050,Broj,Ž,7,3453
2050,Broj,Ž,8,3491
2050,Broj,Ž,9,3529
2050,Broj,Ž,10,3568
2050,Broj,Ž,11,3605
2050,Broj,Ž,12,3643
2050,Broj,Ž,13,3683
2050,Broj,Ž,14,3725
2050,Broj,Ž,15,3770
2050,Broj,Ž,16,3816
2050,Broj,Ž,17,3863
2050,Broj,Ž,18,3905
2050,Broj,Ž,19,3949
2050,Broj,Ž,20,4001
2050,Broj,Ž,21,4051
2050,Broj,Ž,22,4104
2050,Broj,Ž,23,4159
2050,Broj,Ž,24,4215
2050,Broj,Ž,25,4267
2050,Broj,Ž,26,4314
2050,Broj,Ž,27,4361
2050,Broj,Ž,28,4414
2050,Broj,Ž,29,4470
2050,Broj,Ž,30,4526
2050,Broj,Ž,31,4584
2050,Broj,Ž,32,4609
2050,Broj,Ž,33,4505
2050,Broj,Ž,34,4580
2050,Broj,Ž,35,4578
2050,Broj,Ž,36,4592
2050,Broj,Ž,37,4701
2050,Broj,Ž,38,5224
2050,Broj,Ž,39,5098
2050,Broj,Ž,40,5433
2050,Broj,Ž,41,5454
2050,Broj,Ž,42,5413
2050,Broj,Ž,43,5328
2050,Broj,Ž,44,5293
2050,Broj,Ž,45,5290
2050,Broj,Ž,46,5274
2050,Broj,Ž,47,5357
2050,Broj,Ž,48,5360
2050,Broj,Ž,49,5558
2050,Broj,Ž,50,5755
2050,Broj,Ž,51,5691
2050,Broj,Ž,52,6146
2050,Broj,Ž,53,6840
2050,Broj,Ž,54,6791
2050,Broj,Ž,55,7026
2050,Broj,Ž,56,6574
2050,Broj,Ž,57,5356
2050,Broj,Ž,58,5519
2050,Broj,Ž,59,6476
2050,Broj,Ž,60,6357
2050,Broj,Ž,61,6578
2050,Broj,Ž,62,6878
2050,Broj,Ž,63,7004
2050,Broj,Ž,64,7147
2050,Broj,Ž,65,7084
2050,Broj,Ž,66,7288
2050,Broj,Ž,67,7400
2050,Broj,Ž,68,7380
2050,Broj,Ž,69,7263
2050,Broj,Ž,70,7246
2050,Broj,Ž,71,7077
2050,Broj,Ž,72,6880
2050,Broj,Ž,73,6926
2050,Broj,Ž,74,7030
2050,Broj,Ž,75,6636
2050,Broj,Ž,76,6184
2050,Broj,Ž,77,6095
2050,Broj,Ž,78,5959
2050,Broj,Ž,79,5645
2050,Broj,Ž,80,5094
2050,Broj,Ž,81,5067
2050,Broj,Ž,82,5053
2050,Broj,Ž,83,4946
2050,Broj,Ž,84,4828
2050,Broj,Ž,85,4687
2050,Broj,Ž,86,4162
2050,Broj,Ž,87,3942
2050,Broj,Ž,88,3738
2050,Broj,Ž,89,3308
2050,Broj,Ž,90,2957
2050,Broj,Ž,91,2579
2050,Broj,Ž,92,2250
2050,Broj,Ž,93,1704
2050,Broj,Ž,94,1531
2050,Broj,Ž,95,1196
2050,Broj,Ž,96,1002
2050,Broj,Ž,97,711
2050,Broj,Ž,98,560
2050,Broj,Ž,99,322
2050,Broj,Ž,100,250
2050,Broj,Ž,101,165
2050,Broj,Ž,102,99
2050,Broj,Ž,103,62
2050,Broj,Ž,104,35
2050,Broj,Ž,105,16
2050,Broj,Ž,106,9
2050,Broj,Ž,107,5
2050,Broj,Ž,108,3
2050,Broj,Ž,109,1
2050,Broj,Ž,110,1
2050,Broj,Ž,111,0
2050,Broj,Ž,112,0
2050,Broj,Ž,113,0
2050,Broj,Ž,114,0
2050,Broj,Ž,115,0
2050,Broj,Ž,116,0
2050,Broj,Ž,117,0
2050,Broj,Ž,118,0
2050,Broj,Ž,119,0
2050,Broj,Ž,120+,0
2055,Broj,Ž,Ukupno,452531
2055,Broj,Ž,0,3070
2055,Broj,Ž,1,3098
2055,Broj,Ž,2,3127
