Year,Value,UNIT_MEASURE
2022	NUMBER	petrovac	M	15-19	15,,
2022	NUMBER	petrovac	F	15-19	12,,
2022	NUMBER	petrovo	_T	15-19	222,,
2022	NUMBER	petrovo	M	15-19	109,,
2022	NUMBER	petrovo	F	15-19	113,,
2022	NUMBER	prnjavor	_T	15-19	1595,,
2022	NUMBER	prnjavor	M	15-19	795,,
2022	NUMBER	prnjavor	F	15-19	800,,
2022	NUMBER	republika_srpska	_T	15-19	54069,,
2022	NUMBER	republika_srpska	M	15-19	26184,,
2022	NUMBER	republika_srpska	F	15-19	27885,,
2022	NUMBER	ribnik	_T	15-19	246,,
2022	NUMBER	ribnik	M	15-19	113,,
2022	NUMBER	ribnik	F	15-19	133,,
2022	NUMBER	rogatica	_T	15-19	427,,
2022	NUMBER	rogatica	M	15-19	202,,
2022	NUMBER	rogatica	F	15-19	225,,
2022	NUMBER	rudo	_T	15-19	309,,
2022	NUMBER	rudo	M	15-19	151,,
2022	NUMBER	rudo	F	15-19	158,,
2022	NUMBER	samac	_T	15-19	658,,
2022	NUMBER	samac	M	15-19	312,,
2022	NUMBER	samac	F	15-19	346,,
2022	NUMBER	sekovici	_T	15-19	253,,
2022	NUMBER	sekovici	M	15-19	140,,
2022	NUMBER	sekovici	F	15-19	113,,
2022	NUMBER	sipovo	_T	15-19	472,,
