Year,UNIT_MEASURE,Teritory,SEX,BIRTHS,Value
2013,NUMBER,osmaci,F,5+,175
2013,NUMBER,ostra_luka,F,5+,102
2013,NUMBER,pale,F,5+,95
2013,NUMBER,pelagicevo,F,5+,109
2013,NUMBER,petrovac,F,5+,0
2013,NUMBER,petrovo,F,5+,65
2013,NUMBER,grad_prijedor,F,5+,1535
2013,NUMBER,prnjavor,F,5+,610
2013,NUMBER,ribnik,F,5+,162
2013,NUMBER,rogatica,F,5+,143
2013,NUMBER,rudo,F,5+,92
2013,NUMBER,sokolac,F,5+,104
2013,NUMBER,srbac,F,5+,217
2013,NUMBER,srebrenica,F,5+,362
2013,NUMBER,teslic,F,5+,1100
2013,NUMBER,grad_trebinje,F,5+,145
2013,NUMBER,trnovo,F,5+,22
2013,NUMBER,ugljevik,F,5+,161
2013,NUMBER,foca,F,5+,218
2013,NUMBER,han_pijesak,F,5+,47
2013,NUMBER,cajnice,F,5+,72
2013,NUMBER,celinac,F,5+,311
2013,NUMBER,samac,F,5+,151
2013,NUMBER,sekovici,F,5+,174
2013,NUMBER,sipovo,F,5+,306
