Year,UNIT_MEASURE,Administrativna oblast,Spol,Literacy,Value
2013,Broj,Jezero,Oba spola,illiterates_percentage,4.52
2013,Broj,Jezero,M,illiterates_percentage,1.42
2013,Broj,Jezero,Ž,illiterates_percentage,7.84
2013,Broj,Kalinovik,Oba spola,illiterates_percentage,4.66
2013,Broj,Kalinovik,M,illiterates_percentage,0.56
2013,Broj,Kalinovik,Ž,illiterates_percentage,8.53
2013,Broj,Kneževo,Oba spola,illiterates_percentage,11.35
2013,Broj,Kneževo,M,illiterates_percentage,3.47
2013,Broj,Kneževo,Ž,illiterates_percentage,18.97
2013,Broj,Kozarska Dubica,Oba spola,illiterates_percentage,3.09
2013,Broj,Kozarska Dubica,M,illiterates_percentage,0.83
2013,Broj,Kozarska Dubica,Ž,illiterates_percentage,5.24
2013,Broj,Kostajnica,Oba spola,illiterates_percentage,2.21
2013,Broj,Kostajnica,M,illiterates_percentage,0.55
2013,Broj,Kostajnica,Ž,illiterates_percentage,3.81
2013,Broj,Kotor Varoš,Oba spola,illiterates_percentage,6.3
2013,Broj,Kotor Varoš,M,illiterates_percentage,1.83
2013,Broj,Kotor Varoš,Ž,illiterates_percentage,10.56
2013,Broj,Krupa Na Uni,Oba spola,illiterates_percentage,9.96
2013,Broj,Krupa Na Uni,M,illiterates_percentage,2.67
2013,Broj,Krupa Na Uni,Ž,illiterates_percentage,18.51
2013,Broj,Kupres,Oba spola,illiterates_percentage,28.93
2013,Broj,Kupres,M,illiterates_percentage,18.37
2013,Broj,Kupres,Ž,illiterates_percentage,40.6
2013,Broj,Laktaši,Oba spola,illiterates_percentage,2.45
2013,Broj,Laktaši,M,illiterates_percentage,0.77
2013,Broj,Laktaši,Ž,illiterates_percentage,4.08
2013,Broj,Lopare,Oba spola,illiterates_percentage,5.0
2013,Broj,Lopare,M,illiterates_percentage,1.8
2013,Broj,Lopare,Ž,illiterates_percentage,8.23
2013,Broj,Ljubinje,Oba spola,illiterates_percentage,1.61
2013,Broj,Ljubinje,M,illiterates_percentage,0.33
2013,Broj,Ljubinje,Ž,illiterates_percentage,2.85
