Year,UNIT_MEASURE,Grad/opština,Pol,Etnička/nacionalna pripadnost,Value
2013,Broj,Grad Gradiška,Ukupno,Hrvati,800
2013,Broj,Grad Gradiška,M,Hrvati,276
2013,Broj,Grad Gradiška,Ž,Hrvati,524
2013,Broj,Grad Derventa,Ukupno,Hrvati,2181
2013,Broj,Grad Derventa,M,Hrvati,1040
2013,Broj,Grad Derventa,Ž,Hrvati,1141
2013,Broj,Grad Doboj,Ukupno,Hrvati,1550
2013,Broj,Grad Doboj,M,Hrvati,605
2013,Broj,Grad Doboj,Ž,Hrvati,945
2013,Broj,Donji Žabar,Ukupno,Hrvati,991
2013,Broj,Donji Žabar,M,Hrvati,497
2013,Broj,Donji Žabar,Ž,Hrvati,494
2013,Broj,Grad Zvornik,Ukupno,Hrvati,103
2013,Broj,Grad Zvornik,M,Hrvati,17
2013,Broj,Grad Zvornik,Ž,Hrvati,86
2013,Broj,Istočna Ilidža,Ukupno,Hrvati,148
2013,Broj,Istočna Ilidža,M,Hrvati,39
2013,Broj,Istočna Ilidža,Ž,Hrvati,109
2013,Broj,Istočni Drvar,Ukupno,Hrvati,1
2013,Broj,Istočni Drvar,M,Hrvati,0
2013,Broj,Istočni Drvar,Ž,Hrvati,1
2013,Broj,Istočni Mostar,Ukupno,Hrvati,11
2013,Broj,Istočni Mostar,M,Hrvati,8
2013,Broj,Istočni Mostar,Ž,Hrvati,3
2013,Broj,Istočni Stari Grad,Ukupno,Hrvati,6
2013,Broj,Istočni Stari Grad,M,Hrvati,2
2013,Broj,Istočni Stari Grad,Ž,Hrvati,4
2013,Broj,Istočno Novo Sarajevo,Ukupno,Hrvati,102
2013,Broj,Istočno Novo Sarajevo,M,Hrvati,23
2013,Broj,Istočno Novo Sarajevo,Ž,Hrvati,79
2013,Broj,Jezero,Ukupno,Hrvati,6
2013,Broj,Jezero,M,Hrvati,4
2013,Broj,Jezero,Ž,Hrvati,2
2013,Broj,Kalinovik,Ukupno,Hrvati,8
2013,Broj,Kalinovik,M,Hrvati,2
2013,Broj,Kalinovik,Ž,Hrvati,6
2013,Broj,Kneževo,Ukupno,Hrvati,24
2013,Broj,Kneževo,M,Hrvati,5
2013,Broj,Kneževo,Ž,Hrvati,19
2013,Broj,Kozarska Dubica,Ukupno,Hrvati,261
2013,Broj,Kozarska Dubica,M,Hrvati,79
2013,Broj,Kozarska Dubica,Ž,Hrvati,182
2013,Broj,Kostajnica,Ukupno,Hrvati,82
2013,Broj,Kostajnica,M,Hrvati,29
2013,Broj,Kostajnica,Ž,Hrvati,53
2013,Broj,Kotor Varoš,Ukupno,Hrvati,852
2013,Broj,Kotor Varoš,M,Hrvati,410
2013,Broj,Kotor Varoš,Ž,Hrvati,442
2013,Broj,Krupa Na Uni,Ukupno,Hrvati,2
2013,Broj,Krupa Na Uni,M,Hrvati,0
2013,Broj,Krupa Na Uni,Ž,Hrvati,2
2013,Broj,Kupres,Ukupno,Hrvati,0
2013,Broj,Kupres,M,Hrvati,0
2013,Broj,Kupres,Ž,Hrvati,0
2013,Broj,Laktaši,Ukupno,Hrvati,500
2013,Broj,Laktaši,M,Hrvati,175
2013,Broj,Laktaši,Ž,Hrvati,325
2013,Broj,Lopare,Ukupno,Hrvati,48
2013,Broj,Lopare,M,Hrvati,9
2013,Broj,Lopare,Ž,Hrvati,39
2013,Broj,Ljubinje,Ukupno,Hrvati,10
2013,Broj,Ljubinje,M,Hrvati,3
2013,Broj,Ljubinje,Ž,Hrvati,7
2013,Broj,Milići,Ukupno,Hrvati,22
2013,Broj,Milići,M,Hrvati,7
2013,Broj,Milići,Ž,Hrvati,15
2013,Broj,Modriča,Ukupno,Hrvati,1396
2013,Broj,Modriča,M,Hrvati,662
2013,Broj,Modriča,Ž,Hrvati,734
2013,Broj,Mrkonjić Grad,Ukupno,Hrvati,148
2013,Broj,Mrkonjić Grad,M,Hrvati,60
2013,Broj,Mrkonjić Grad,Ž,Hrvati,88
2013,Broj,Nevesinje,Ukupno,Hrvati,27
2013,Broj,Nevesinje,M,Hrvati,9
2013,Broj,Nevesinje,Ž,Hrvati,18
2013,Broj,Novi Grad,Ukupno,Hrvati,174
2013,Broj,Novi Grad,M,Hrvati,58
2013,Broj,Novi Grad,Ž,Hrvati,116
2013,Broj,Novo Goražde,Ukupno,Hrvati,2
2013,Broj,Novo Goražde,M,Hrvati,1
2013,Broj,Novo Goražde,Ž,Hrvati,1
2013,Broj,Osmaci,Ukupno,Hrvati,7
2013,Broj,Osmaci,M,Hrvati,1
2013,Broj,Osmaci,Ž,Hrvati,6
2013,Broj,Oštra Luka,Ukupno,Hrvati,149
2013,Broj,Oštra Luka,M,Hrvati,74
2013,Broj,Oštra Luka,Ž,Hrvati,75
2013,Broj,Pale,Ukupno,Hrvati,126
2013,Broj,Pale,M,Hrvati,37
