Year,UNIT_MEASURE,Teritory,Spol,Vitalna statistika,Value
2013,Broj,MODRICA,Ž,5+,366
2013,Broj,MRKONJIC GRAD,Ž,5+,295
2013,Broj,NEVESINJE,Ž,5+,204
2013,Broj,NOVI GRAD,Ž,5+,543
2013,Broj,NOVO GORAZDE,Ž,5+,42
2013,Broj,OSMACI,Ž,5+,175
2013,Broj,OSTRA LUKA,Ž,5+,102
2013,Broj,PALE,Ž,5+,95
2013,Broj,PELAGICEVO,Ž,5+,109
2013,Broj,PETROVAC,Ž,5+,0
2013,Broj,PETROVO,Ž,5+,65
2013,Broj,PRIJEDOR,Ž,5+,1535
2013,Broj,PRNJAVOR,Ž,5+,610
2013,Broj,RIBNIK,Ž,5+,162
2013,Broj,ROGATICA,Ž,5+,143
2013,Broj,RUDO,Ž,5+,92
2013,Broj,SOKOLAC,Ž,5+,104
2013,Broj,SRBAC,Ž,5+,217
2013,Broj,SREBRENICA,Ž,5+,362
2013,Broj,TESLIC,Ž,5+,1100
2013,Broj,TREBINJE,Ž,5+,145
2013,Broj,TRNOVO,Ž,5+,22
2013,Broj,UGLJEVIK,Ž,5+,161
2013,Broj,FOCA,Ž,5+,218
2013,Broj,HAN PIJESAK,Ž,5+,47
2013,Broj,CAJNICE,Ž,5+,72
2013,Broj,CELINAC,Ž,5+,311
2013,Broj,SAMAC,Ž,5+,151
2013,Broj,SEKOVICI,Ž,5+,174
2013,Broj,SIPOVO,Ž,5+,306
