Year,UNIT_MEASURE,Пол,AGE,Value
2030,Број,Ж,40-44,35287
2030,Број,Ж,45-49,38781
2030,Број,Ж,50-54,39071
2030,Број,Ж,55-59,37016
2030,Број,Ж,60-64,36484
2030,Број,Ж,65-69,40894
2030,Број,Ж,70-74,41170
2030,Број,Ж,75-79,36643
2030,Број,Ж,80-84,24288
2030,Број,Ж,85-89,10323
2030,Број,Ж,90-94,5377
2030,Број,Ж,95-99,1012
2030,Број,Ж,100-104,82
2030,Број,Ж,105-109,2
2030,Број,Ж,110-114,0
2030,Број,Ж,115-119,0
2030,Број,Ж,120+,0
2035,Број,Ж,_T,534009
2035,Број,Ж,0,3755
2035,Број,Ж,1-4,15493
2035,Број,Ж,5-9,20447
2035,Број,Ж,10-14,21692
2035,Број,Ж,15-19,22572
2035,Број,Ж,20-24,23910
2035,Број,Ж,25-29,26722
2035,Број,Ж,30-34,26713
2035,Број,Ж,35-39,31529
2035,Број,Ж,40-44,31559
2035,Број,Ж,45-49,35131
2035,Број,Ж,50-54,38436
2035,Број,Ж,55-59,38542
2035,Број,Ж,60-64,36329
2035,Број,Ж,65-69,35381
2035,Број,Ж,70-74,38433
2035,Број,Ж,75-79,36313
2035,Број,Ж,80-84,28851
2035,Број,Ж,85-89,15706
2035,Број,Ж,90-94,4762
2035,Број,Ж,95-99,1564
2035,Број,Ж,100-104,163
2035,Број,Ж,105-109,7
2035,Број,Ж,110-114,0
2035,Број,Ж,115-119,0
2035,Број,Ж,120+,0
2040,Број,Ж,_T,514516
2040,Број,Ж,0,3554
2040,Број,Ж,1-4,14610
2040,Број,Ж,5-9,19285
2040,Број,Ж,10-14,20459
2040,Број,Ж,15-19,21683
2040,Број,Ж,20-24,22626
2040,Број,Ж,25-29,23969
2040,Број,Ж,30-34,26770
2040,Број,Ж,35-39,26832
2040,Број,Ж,40-44,31526
2040,Број,Ж,45-49,31458
2040,Број,Ж,50-54,34856
2040,Број,Ж,55-59,37950
2040,Број,Ж,60-64,37859
