Year,UNIT_MEASURE,Grad/opština,Pol,Starost,Value
2013,Broj,Ribnik,Ukupno,10-14,310
2013,Broj,Ribnik,M,10-14,151
2013,Broj,Ribnik,Ž,10-14,159
2013,Broj,Rogatica,Ukupno,10-14,416
2013,Broj,Rogatica,M,10-14,213
2013,Broj,Rogatica,Ž,10-14,203
2013,Broj,Rudo,Ukupno,10-14,305
2013,Broj,Rudo,M,10-14,166
2013,Broj,Rudo,Ž,10-14,139
2013,Broj,Srbac,Ukupno,10-14,850
2013,Broj,Srbac,M,10-14,446
2013,Broj,Srbac,Ž,10-14,404
2013,Broj,Srebrenica,Ukupno,10-14,515
2013,Broj,Srebrenica,M,10-14,278
2013,Broj,Srebrenica,Ž,10-14,237
2013,Broj,Stanari,Ukupno,10-14,323
2013,Broj,Stanari,M,10-14,172
2013,Broj,Stanari,Ž,10-14,151
2013,Broj,Teslić,Ukupno,10-14,2082
2013,Broj,Teslić,M,10-14,1053
2013,Broj,Teslić,Ž,10-14,1029
2013,Broj,Grad Trebinje,Ukupno,10-14,1481
2013,Broj,Grad Trebinje,M,10-14,768
2013,Broj,Grad Trebinje,Ž,10-14,713
2013,Broj,Ugljevik,Ukupno,10-14,753
2013,Broj,Ugljevik,M,10-14,382
2013,Broj,Ugljevik,Ž,10-14,371
2013,Broj,Foča,Ukupno,10-14,783
2013,Broj,Foča,M,10-14,390
